Center_x,Center_y
701.145,222.324
700.621,222.375
700.554,222.555
699.98,223.091
699.863,223.011
699.299,222.844
698.552,223.486
698.142,223.348
697.622,223.383
697.553,223.481
697.42,223.402
696.826,223.542
696.792,223.676
696.613,223.901
696.26,223.982
695.559,224.322
695.5,223.834
695.269,224.19
694.926,224.057
694.928,224.088
694.408,224.118
693.862,224.248
693.823,224.436
693.659,224.642
693.011,224.937
691.804,225.349
692.225,224.922
691.421,225.39
691.22,224.797
691.233,225.425
690.786,225.06
690.457,224.114
690.606,223.944
690.336,224.178
689.884,223.27
690.107,222.878
689.846,222.937
690.029,222.611
689.443,222.043
689.511,221.065
689.644,220.58
689.549,220.548
689.69,220.172
690.027,219.555
689.72,219.261
690.345,218.534
689.99,218.489
690.771,217.694
690.873,217.439
691.207,216.887
690.76,216.653
691.785,216.196
692.554,215.232
692.627,214.793
692.5,212
692.984,212.541
693.892,212.647
695.016,212.651
694.557,212.324
696.5,209.5
695,208
698,208
698.612,208.541
699.816,208.404
696.5,206.5
697.5,204
697.5,204
696.93,204.644
698.5,202.5
699,201.5
699,201
700.169,201.585
700,199
700.5,198
700.221,198.829
701,197.5
701,196
700.919,196.838
701.937,197.03
703,194.5
702,194.5
701.841,195.018
704.5,193.5
704,193
704.445,193.253
705,191.5
706.361,191.473
706,191.5
708.5,189.5
708.346,190.792
707,191
708.5,189.5
708,191.5
709,190.5
709,190.5
710,190
710.456,190.751
713,190
711,189
711.5,189.5
711.711,189.795
712,190.5
712.5,189.5
713,189
713.5,188
714,188.5
714.295,189.423
714.957,189.293
715,188
715,186.5
716,186
716,185
716.5,184.5
716.5,185.5
717,185
717.5,183.5
717.5,182.5
717.5,181.5
717.5,181.5
717.5,180.5
717.5,180.5
718,179.5
718,180.5
718,180.5
718,179.5
718.5,178.5
718.5,177
718.5,177.5
718.5,178
719.028,178.733
718.803,179.115
721,176.5
719,176
720,175.5
719,175
719,175
719,175.5
719,176
718.764,176.455
718.5,175.5
718.5,174
718.5,174
718,174
717.5,174
717.5,175
717,175.5
716.5,175.5
716.5,174
716,174
716,174
715,174.5
715,175.5
715,176
714.5,175
714,175
714,175
714,175
713,175
713.5,174.5
713,174.5
713,174.5
711.5,175
712,176
712,176
712.5,175
712,174
712,174
711.5,173.5
711.5,173
711.5,172
711.5,171.5
713.5,171
711.5,171
711,171
710.5,171
711,171.5
710.5,169.5
710.5,168.5
710.5,168
710.5,170
711,170
711,169
711,169
711.5,168
711.5,169
711.5,170
711.5,170.5
712,170.5
712,169.5
712.5,169
712.5,167.5
712.5,167.5
712.5,168.5
713,169
713,170
713,169.5
713,168
713,168
713,167.5
713,166.5
713,166.5
713,168
713,167.5
713,166
713,165.5
713,165.5
713,165.5
713,167
713,165
713,164.5
713,164.5
713,165
713,166
713,164.5
712.5,163.5
712,164
712.5,165.5
712,164.5
712,164
712,163.5
712,164.5
712,165
711.5,164
711,164
711,163
711,164
711,165
711,164.5
711,164
711,163.5
711,163
711,162.5
711.5,162.5
712,163.5
712,163.5
712,163
711.884,162.472
712.556,162.925
712.5,163
713,163
712.5,163
713.5,161.5
713.5,161
713.5,160.5
713.5,160.5
713.5,160
714,160
714,159.5
714.5,159
714.5,159.5
714.5,160
714.5,159.5
714.5,159.5
715,158.5
715,158
715,157
715,157
715,156.5
716,156.5
715.5,155.5
716,155.5
716,155
716,154.5
716,155
716,155
716.5,156
716.5,155
716.5,154.5
716.5,154
716.5,153
716.5,152.5
716.5,152
716.5,152
717,153
717,153.5
717,154
717.5,154.5
717.5,153
717.5,152
717.449,154.54
717.687,154.69
717.882,154.905
718.5,153
718.5,154
719,154
719,153.5
719.5,153
720,153
720,153
720.5,153
720.5,153.5
720.5,153
721.5,153.5
721.5,153.5
722,154
722.5,154
723.5,155
723.5,154.5
724.5,154
724.5,154
725.5,154
725.277,155.029
726.5,154
727.5,154
727.5,154.5
728.5,155
728.5,155
729,155.5
729.5,155.5
730,155.5
730.5,155.5
730.5,154.5
731,154.5
731,154.5
731,155
731,155
732.5,155.5
731.5,156
732.5,156.5
731.5,157
732.5,155.5
731.5,155
731.5,155.5
731.5,155.5
731.5,156.5
731.5,156
731.5,155.5
731.5,155.5
731.5,155.5
732,155.5
732,156.5
732,156.5
732,157
732,158
732,157
732,156.5
731,156.5
732,156
731,156
730.5,156
730,156.5
729.5,157
729,158
728,157.5
727,156.5
726.5,156
725.5,156.5
725.5,156.5
724.5,156.5
723.5,156
723,157
722.5,158
722,158
721,158.5
720,159
719.5,159.5
719,159.5
718,159
717.5,159
717,158.5
716,159
716,158.5
715.045,160.012
714.5,158
714,159.5
713.5,161
713,159.5
713,159.5
712.295,159.654
713,162
712,160.5
711,161
710.5,162
710,163
710,162.5
710,162.5
709,162.5
709,163.5
708.5,164.5
708,165
708,164.5
707.5,164.5
707.5,165.5
707,165.5
707,165.5
706.5,165.5
706.5,166.5
706.5,166.5
706.5,166.5
706.5,167
707,166.5
707.5,166.5
707.5,167
707.5,166.5
708,166.5
708,166.5
708.5,166
708.5,165.5
708.5,165.5
708.5,165
709.5,165
709.5,164.5
709.5,164
709.5,165
709.5,165
710,165.5
710,165
710,163
710,163
710,163.5
710.243,164.253
711,162.5
711,162.5
712,162.5
712,162
713,161.5
713,160
714,159
714,158.5
715,158
715,156.5
716,156
716,155.5
717,156.5
718,156.5
718,154.5
718,153.5
719,152.5
719,150.5
719,152
720,151
720,151.5
720,150
720,149
720,148
720,148
720,147.5
720,147
720,148
720,148
720,146.5
720,146
720,146
719.806,146.891
719.5,146
719.5,148
719,147
719,146.5
719.165,147.069
719,145.5
719,147
719.5,147.5
719.5,146.5
719.5,146.5
719.5,146
719.5,146.5
720.5,147
720.5,148.5
721,147.5
721.085,147.493
721.066,147.6
721.203,147.819
722,147
723,148.5
723,148
724,149
724.5,148.5
725,147.5
726,149
726.5,146.5
727,146.5
727.5,146.5
728.5,146
728.5,145.5
729.5,144.5
729.5,145.5
730.5,145.5
731,145.5
731.5,146
