Center_x,Center_y
711.52,197.521
711.519,197.511
711.403,197.514
711.394,196.366
711.393,196.382
711.385,196.323
711.383,194.669
711.38,194.448
711.38,194.448
711.38,194.388
711.375,194.345
711.352,194.341
711.352,194.341
711.352,194.341
711.351,194.339
711.347,194.53
711.341,194.52
711.34,194.518
711.338,194.508
711.334,194.522
711.334,194.522
711.336,194.566
711.335,194.579
711.334,194.61
711.334,194.568
711.336,194.463
711.335,194.46
711.335,194.445
711.334,194.44
711.335,194.411
711.284,194.103
711.285,194.136
711.285,194.136
711.285,194.136
711.287,194.178
711.293,194.219
711.293,194.242
711.292,194.251
711.292,194.328
711.292,194.326
711.287,194.402
711.286,194.401
711.298,194.44
711.304,194.415
711.305,194.417
711.305,194.417
711.341,194.493
711.526,194.435
711.527,194.46
711.533,194.463
711.609,196.529
711.609,196.529
692.5,212
711.733,198.53
711.914,198.538
711.922,198.552
711.926,198.523
696.5,209.5
695,208
698,208
712.021,198.72
712.094,198.56
696.5,206.5
697.5,204
697.5,204
712.421,198.118
698.5,202.5
699,201.5
699,201
712.589,197.641
700,199
700.5,198
712.818,197.511
701,197.5
701,196
712.821,197.494
712.828,197.507
703,194.5
702,194.5
712.939,197.435
704.5,193.5
704,193
713.069,197.527
705,191.5
713.132,197.515
706,191.5
708.5,189.5
713.282,197.575
707,191
708.5,189.5
708,191.5
709,190.5
709,190.5
710,190
714.332,196.8
713,190
711,189
711.5,189.5
714.402,197.022
712,190.5
712.5,189.5
713,189
713.5,188
714,188.5
714.51,196.586
714.517,196.552
715,188
715,186.5
716,186
716,185
716.5,184.5
716.5,185.5
717,185
717.5,183.5
717.5,182.5
717.5,181.5
717.5,181.5
717.5,180.5
717.5,180.5
718,179.5
718,180.5
718,180.5
718,179.5
718.5,178.5
718.5,177
718.5,177.5
718.5,178
714.767,196.925
714.777,196.934
721,176.5
719,176
720,175.5
719,175
719,175
719,175.5
719,176
714.797,197.004
718.5,175.5
718.5,174
718.5,174
718,174
717.5,174
717.5,175
717,175.5
716.5,175.5
716.5,174
716,174
716,174
715,174.5
715,175.5
715,176
714.5,175
714,175
714,175
714,175
713,175
713.5,174.5
713,174.5
713,174.5
711.5,175
712,176
712,176
712.5,175
712,174
712,174
711.5,173.5
711.5,173
711.5,172
711.5,171.5
713.5,171
711.5,171
711,171
710.5,171
711,171.5
710.5,169.5
710.5,168.5
710.5,168
710.5,170
711,170
711,169
711,169
711.5,168
711.5,169
711.5,170
711.5,170.5
712,170.5
712,169.5
712.5,169
712.5,167.5
712.5,167.5
712.5,168.5
713,169
713,170
713,169.5
713,168
713,168
713,167.5
713,166.5
713,166.5
713,168
713,167.5
713,166
713,165.5
713,165.5
713,165.5
713,167
713,165
713,164.5
713,164.5
713,165
713,166
713,164.5
712.5,163.5
712,164
712.5,165.5
712,164.5
712,164
712,163.5
712,164.5
712,165
711.5,164
711,164
711,163
711,164
711,165
711,164.5
711,164
711,163.5
711,163
711,162.5
711.5,162.5
712,163.5
712,163.5
712,163
712.909,161.751
712.911,161.59
712.5,163
713,163
712.5,163
713.5,161.5
713.5,161
713.5,160.5
713.5,160.5
713.5,160
714,160
714,159.5
714.5,159
714.5,159.5
714.5,160
714.5,159.5
714.5,159.5
715,158.5
715,158
715,157
715,157
715,156.5
716,156.5
715.5,155.5
716,155.5
716,155
716,154.5
716,155
716,155
716.5,156
716.5,155
716.5,154.5
716.5,154
716.5,153
716.5,152.5
716.5,152
716.5,152
717,153
717,153.5
717,154
717.5,154.5
717.5,153
717.5,152
715.763,154.748
715.863,154.753
716.165,154.837
718.5,153
718.5,154
719,154
719,153.5
719.5,153
720,153
720,153
720.5,153
720.5,153.5
720.5,153
721.5,153.5
721.5,153.5
722,154
722.5,154
723.5,155
723.5,154.5
724.5,154
724.5,154
725.5,154
722.079,159.56
726.5,154
727.5,154
727.5,154.5
728.5,155
728.5,155
729,155.5
729.5,155.5
730,155.5
730.5,155.5
730.5,154.5
731,154.5
731,154.5
731,155
731,155
732.5,155.5
731.5,156
732.5,156.5
731.5,157
732.5,155.5
731.5,155
731.5,155.5
731.5,155.5
731.5,156.5
731.5,156
731.5,155.5
731.5,155.5
731.5,155.5
732,155.5
732,156.5
732,156.5
732,157
732,158
732,157
732,156.5
731,156.5
732,156
731,156
730.5,156
730,156.5
729.5,157
729,158
728,157.5
727,156.5
726.5,156
725.5,156.5
725.5,156.5
724.5,156.5
723.5,156
723,157
722.5,158
722,158
721,158.5
720,159
719.5,159.5
719,159.5
718,159
717.5,159
717,158.5
716,159
716,158.5
714.873,161.083
714.5,158
714,159.5
713.5,161
713,159.5
713,159.5
714.625,160.443
713,162
712,160.5
711,161
710.5,162
710,163
710,162.5
710,162.5
709,162.5
709,163.5
708.5,164.5
708,165
708,164.5
707.5,164.5
707.5,165.5
707,165.5
707,165.5
706.5,165.5
706.5,166.5
706.5,166.5
706.5,166.5
706.5,167
707,166.5
707.5,166.5
707.5,167
707.5,166.5
708,166.5
708,166.5
708.5,166
708.5,165.5
708.5,165.5
708.5,165
709.5,165
709.5,164.5
709.5,164
709.5,165
709.5,165
710,165.5
710,165
710,163
710,163
710,163.5
713.578,161.001
711,162.5
711,162.5
712,162.5
712,162
713,161.5
713,160
714,159
714,158.5
715,158
715,156.5
716,156
716,155.5
717,156.5
718,156.5
718,154.5
718,153.5
719,152.5
719,150.5
719,152
720,151
720,151.5
720,150
720,149
720,148
720,148
720,147.5
720,147
720,148
720,148
720,146.5
720,146
720,146
717.316,159.081
719.5,146
719.5,148
719,147
719,146.5
717.26,159.327
719,145.5
719,147
719.5,147.5
719.5,146.5
719.5,146.5
719.5,146
719.5,146.5
720.5,147
720.5,148.5
721,147.5
717.637,160.568
717.611,160.568
717.629,160.644
722,147
723,148.5
723,148
724,149
724.5,148.5
725,147.5
726,149
726.5,146.5
727,146.5
727.5,146.5
728.5,146
728.5,145.5
729.5,144.5
729.5,145.5
730.5,145.5
731,145.5
731.5,146
732,145.5
732,144
732.5,143
733,143
733,143
734,144
734,144.5
734,144.5
735,144
735,143.5
735,143
735.5,142
735.5,142
736,142.5
736.5,142.5
736.5,142
736.5,142
736.5,142.5
737.5,143
737.5,143
737.5,143
737.5,143.5
737.5,143.5
737.5,144
737.5,144.5
737.5,145
738,144.5
738,145.5
738,146
738,146.5
738,147
738,147
739,147
739,146
739,146
740,146.5
740,146
741,145.5
741,146
741.5,146
742,145.5
742,145.5
742,146
742,146
743,146.5
743,147
743,147.5
743.5,147.5
743.5,148
743.5,148
744,148
744,148
744,148
744,148.5
743.5,148.5
743.5,148
743.5,148.5
743.5,149
743,149.5
742.5,149.5
742.5,149.5
742,149.5
742,148.5
741.5,149
741,149
741,149
740.5,149.5
740,149.5
740,150
739.5,150
739,151
739,151
738.5,152.5
738,153
737.5,153
737.5,154.5
736.5,154.5
736.5,154.5
735.5,155
735.5,154.5
734.5,155
734,155.5
733.5,155
733,157
732.5,158
732,159
731.5,158.5
730.5,158.5
730,158.5
729.5,161
729,162.5
728.5,163.5
728,164.5
728,165
727,165.5
726,166.5
726,167.5
726,168
725,168.5
725,169.5
725,171.5
724.5,171.5
724,171
724,171.5
724,172.5
724,173.5
724,174
724,174
725,173.5
724,175
724,176.5
725,176
724.5,176.5
724.5,176.5
724.5,178
717.644,169.053
725,178.5
725,178.5
726,179.5
725,180.5
717.641,171.047
726,180.5
726,180.5
726,181.5
726,182
717.705,172.48
717.703,174.058
726,183.5
726,182
726.5,183
726,184.5
718.253,176.062
726.5,184.5
726.5,185
726.5,185
726.5,186
718.15,178.085
718.214,178.558
718.213,178.504
727,188.5
727,188
727.5,187
727.5,188.5
718.342,181.6
718.315,181.699
728,189.5
728,189.5
728,190
718.345,181.988
728.5,190.5
728.5,190
728.5,190
718.609,182.836
718.613,182.987
718.716,183.108
728.5,192
728,192.5
728,192.5
719.614,183.313
719.654,183.346
719.641,183.296
719.725,183.343
727.5,193
727.5,193
727,193
727,194
726.5,195
726,193.5
725.5,193.5
726,194
725,195
724.5,196
724,195
723.5,194
723.5,195.5
723,197
722.5,196.5
722,196
721.5,196
721,197
719.54,185.12
719.538,185.172
719.5,199
719,199.5
719,199.5
718,200.5
719.501,185.104
719.5,185.074
716.5,201.5
716,202.5
715.5,202.5
719.439,182.86
719.415,182.291
714,204
713,204.5
712.5,204.5
711.5,205
719.331,182.215
719.276,182.334
709,206.5
708.5,206.5
708,207
707,208
718.656,178.275
718.646,178.235
705,209
704,209
703,209.5
702,210.5
718.143,178.013
718.142,178.042
700,211.5
699,211.5
698,212
697,212.5
717.304,176.768
716.724,176.854
716.725,176.817
716.728,176.105
716.679,175.592
716.685,175.573
716.684,175.553
692,212
692,211.5
691,211.5
691,211.5
691,211.5
691,211.5
691,211.5
690.5,209
689,208.5
688.5,208.5
688,207.5
687.5,207
687,206
687,205.5
686.5,206
686,206
686,206
685.5,205.5
685,205.5
684.5,204.5
684,204
683.5,204
683,203
682.5,202.5
682,202
682,203
681,203
682.355,202.553
681,201.5
680.5,201
680,200.5
680,200
680,201
680.907,201.331
679.5,201.5
679,201
679.5,200
679.5,199.5
679.5,199.5
679.5,199.5
679.5,200
680,200.5
681.322,200.362
681.35,200.353
681.817,200.036
681,199
681,199
681.5,198.5
681.5,197.5
682.5,196.5
682.5,197
683.5,198
684.717,199.557
684,199
685.712,199.275
685,198
685.5,198
686,197.5
686.5,197.5
686.5,197
687,197.5
687.5,198
688,198.5
688.293,199.334
688.826,199.362
689,198.5
690,198.5
690.5,198.5
691,198
692,197.5
692.5,197.5
693,198
694,198.5
694,199
695.38,199.883
695.952,199.955
696,198.5
697,198
697.5,198.5
698,198
699,198.5
699,198
700,199
701,199
701,199.5
702,200
700.845,198.811
701.414,198.808
703,200
704,198.5
704,199
704.5,199
705,198.5
705.5,198.5
705.5,198.5
706,199
706.5,199
704.913,198.66
706.5,200
707,200
707,199
707,199
707,199
707,199
707,199
707,198
707,199
707,200
707.5,199.5
706.5,199.5
706.5,199.5
706,199.5
705.5,199.5
706,199.5
705.5,199.5
705.5,199.5
705.5,199
705.5,199
