Center_x,Center_y
682.56,230.4
672,230
671.715,229.999
682.56,230.4
682.312,230.405
666,230
665.665,230.212
684.288,231.552
684.288,231.552
684.288,231.552
684.288,231.552
684.288,231.552
683.802,231.569
683.503,231.553
683.33,231.547
673.92,230.4
673.723,230.232
673.498,230.233
673.259,230.189
673.191,230.155
673.261,230.03
673.181,229.687
673.103,229.5
673.004,229.014
672.996,228.557
673.92,228.096
673.936,227.94
673.834,227.514
673.866,227.186
660,226
666,224
673.92,224.64
673.92,224.64
674.031,224.145
673.92,224.64
674.109,224.184
674.322,223.71
678,222
678.416,221.475
673.92,221.76
674.511,221.29
673.92,221.184
692.5,212
683.251,207.36
683.251,203.213
714.355,211.507
714.701,211.082
696.5,209.5
695,208
698,208
683.251,211.507
683.665,210.784
696.5,206.5
697.5,204
697.5,204
721.86,202.533
698.5,202.5
699,201.5
699,201
705.888,200.448
700,199
700.5,198
722.65,199.066
701,197.5
701,196
692.307,190.458
692.717,189.88
703,194.5
702,194.5
723.91,194.513
704.5,193.5
704,193
709.603,198.653
705,191.5
710.208,194.918
706,191.5
708.5,189.5
715.392,194.089
707,191
708.5,189.5
708,191.5
709,190.5
709,190.5
710,190
733.018,190.771
713,190
711,189
711.5,189.5
722.031,194.84
712,190.5
712.5,189.5
713,189
713.5,188
714,188.5
734.403,186.263
734.631,185.804
715,188
715,186.5
716,186
716,185
716.5,184.5
716.5,185.5
717,185
717.5,183.5
717.5,182.5
717.5,181.5
717.5,181.5
717.5,180.5
717.5,180.5
718,179.5
718,180.5
718,180.5
718,179.5
718.5,178.5
718.5,177
718.5,177.5
718.5,178
724.101,179.159
736.543,174.182
721,176.5
719,176
720,175.5
719,175
719,175
719,175.5
719,176
722.658,182.488
718.5,175.5
718.5,174
718.5,174
718,174
717.5,174
717.5,175
717,175.5
716.5,175.5
716.5,174
716,174
716,174
715,174.5
715,175.5
715,176
714.5,175
714,175
714,175
714,175
713,175
713.5,174.5
713,174.5
713,174.5
711.5,175
712,176
712,176
712.5,175
712,174
712,174
711.5,173.5
711.5,173
711.5,172
711.5,171.5
713.5,171
711.5,171
711,171
710.5,171
711,171.5
710.5,169.5
710.5,168.5
710.5,168
710.5,170
711,170
711,169
711,169
711.5,168
711.5,169
711.5,170
711.5,170.5
712,170.5
712,169.5
712.5,169
712.5,167.5
712.5,167.5
712.5,168.5
713,169
713,170
713,169.5
713,168
713,168
713,167.5
713,166.5
713,166.5
713,168
713,167.5
713,166
713,165.5
713,165.5
713,165.5
713,167
713,165
713,164.5
713,164.5
713,165
713,166
713,164.5
712.5,163.5
712,164
712.5,165.5
712,164.5
712,164
712,163.5
712,164.5
712,165
711.5,164
711,164
711,163
711,164
711,165
711,164.5
711,164
711,163.5
711,163
711,162.5
711.5,162.5
712,163.5
712,163.5
712,163
735.091,165.888
735.246,165.654
712.5,163
713,163
712.5,163
713.5,161.5
713.5,161
713.5,160.5
713.5,160.5
713.5,160
714,160
714,159.5
714.5,159
714.5,159.5
714.5,160
714.5,159.5
714.5,159.5
715,158.5
715,158
715,157
715,157
715,156.5
716,156.5
715.5,155.5
716,155.5
716,155
716,154.5
716,155
716,155
716.5,156
716.5,155
716.5,154.5
716.5,154
716.5,153
716.5,152.5
716.5,152
716.5,152
717,153
717,153.5
717,154
717.5,154.5
717.5,153
717.5,152
737.787,154.276
725.345,159.252
725.545,159.344
718.5,153
718.5,154
719,154
719,153.5
719.5,153
720,153
720,153
720.5,153
720.5,153.5
720.5,153
721.5,153.5
721.5,153.5
722,154
722.5,154
723.5,155
723.5,154.5
724.5,154
724.5,154
725.5,154
736.543,154.276
726.5,154
727.5,154
727.5,154.5
728.5,155
728.5,155
729,155.5
729.5,155.5
730,155.5
730.5,155.5
730.5,154.5
731,154.5
731,154.5
731,155
731,155
732.5,155.5
731.5,156
732.5,156.5
731.5,157
732.5,155.5
731.5,155
731.5,155.5
731.5,155.5
731.5,156.5
731.5,156
731.5,155.5
731.5,155.5
731.5,155.5
732,155.5
732,156.5
732,156.5
732,157
732,158
732,157
732,156.5
731,156.5
732,156
731,156
730.5,156
730,156.5
729.5,157
729,158
728,157.5
727,156.5
726.5,156
725.5,156.5
725.5,156.5
724.5,156.5
723.5,156
723,157
722.5,158
722,158
721,158.5
720,159
719.5,159.5
719,159.5
718,159
717.5,159
717,158.5
716,159
716,158.5
722.157,164.392
714.5,158
714,159.5
713.5,161
713,159.5
713,159.5
712.412,160.061
713,162
712,160.5
711,161
710.5,162
710,163
710,162.5
710,162.5
709,162.5
709,163.5
708.5,164.5
708,165
708,164.5
707.5,164.5
707.5,165.5
707,165.5
707,165.5
706.5,165.5
706.5,166.5
706.5,166.5
706.5,166.5
706.5,167
707,166.5
707.5,166.5
707.5,167
707.5,166.5
708,166.5
708,166.5
708.5,166
708.5,165.5
708.5,165.5
708.5,165
709.5,165
709.5,164.5
709.5,164
709.5,165
709.5,165
710,165.5
710,165
710,163
710,163
710,163.5
724.101,164.229
711,162.5
711,162.5
712,162.5
712,162
713,161.5
713,160
714,159
714,158.5
715,158
715,156.5
716,156
716,155.5
717,156.5
718,156.5
718,154.5
718,153.5
719,152.5
719,150.5
719,152
720,151
720,151.5
720,150
720,149
720,148
720,148
